Order_ID,Order_Date,Product,Category,Region,Quantity,Sales
1001,2026-01-05,Laptop,Electronics,West,2,120000
1002,2026-01-08,Mouse,Electronics,North,5,2500
1003,2026-01-10,Chair,Furniture,South,3,15000
1004,2026-02-12,Desk,Furniture,East,2,20000
1005,2026-02-15,Keyboard,Electronics,West,4,8000
1006,2026-03-01,Monitor,Electronics,North,2,30000
1007,2026-03-10,Sofa,Furniture,South,1,45000
1008,2026-03-15,Table,Furniture,East,3,18000
1009,2026-04-05,Laptop,Electronics,North,1,60000
1010,2026-04-12,Chair,Furniture,West,4,20000
1011,2026-05-08,Mouse,Electronics,East,10,5000
1012,2026-05-15,Sofa,Furniture,North,2,90000
1013,2026-06-02,Keyboard,Electronics,South,6,12000
1014,2026-06-10,Desk,Furniture,West,3,30000
1015,2026-07-05,Monitor,Electronics,East,4,60000
